suppression_fraction_y,suppression_pct,x_AUC_p05,x_AUC_p50,x_AUC_p95,n_pd_used
0.05,5.0,3.516695955177036,4.824377268664109,6.5200906921917,2000
0.060000000000000005,6.000000000000001,4.3269291891447805,5.919867913700472,7.985662869888593,2000
0.07,7.000000000000001,5.171298364219392,7.065931764525833,9.499410161579782,2000
0.08,8.0,6.055116116524918,8.257319132465211,11.066052433441714,2000
0.09,9.0,6.983411742963634,9.502715759407003,12.69437370533844,2000
0.1,10.0,7.978181103653484,10.823789567320704,14.414437190909364,2000
0.11,11.0,9.032802729590253,12.205172168944511,16.197320681383292,2000
0.12000000000000001,12.000000000000002,10.15117544659978,13.649805965472922,18.08693361679397,2000
0.13,13.0,11.3196128496765,15.164264907191015,20.06791938757177,2000
0.14,14.000000000000002,12.556434336617421,16.771779509197973,22.13353640050482,2000
0.15000000000000002,15.000000000000002,13.868970741649553,18.483475004280308,24.28933775805074,2000
0.16,16.0,15.268377402938441,20.239312791719094,26.575630182560754,2000
0.16999999999999998,17.0,16.756980333775864,22.08989801875919,28.88414406846241,2000
0.18,18.0,18.288482937694216,24.065351875748437,31.298176730793507,2000
0.19,19.0,19.9319698967652,26.183426993623584,33.86923699762133,2000
0.2,20.0,21.75443930580202,28.453873012371552,36.60272002597094,2000
0.21000000000000002,21.000000000000004,23.744205587810093,30.853202099543783,39.555483563491194,2000
0.22000000000000003,22.000000000000004,25.854805061799983,33.38601863906302,42.68475532815729,2000
0.22999999999999998,23.0,28.162729647532316,36.110802702524886,45.88923350041442,2000
0.24,24.0,30.655905937664343,39.058935757736776,49.48249417952055,2000
0.25,25.0,33.392893754506815,42.133548390922854,53.18472895235574,2000
0.26,26.0,36.33318894917288,45.5448379037492,57.30704886412657,2000
0.27,27.0,39.378515729095945,49.28392900039304,61.56118177326767,2000
0.28,28.000000000000004,42.905414115575155,53.226386030149186,66.19739352850051,2000
0.29,28.999999999999996,46.60805093412259,57.66890922504095,71.33773433165207,2000
0.3,30.0,50.62124184429277,62.41496890611894,76.82508882500967,2000
0.31,31.0,54.865603402930304,67.58264755367061,82.80384504895251,2000
0.32,32.0,59.48532585195844,73.31942364565941,89.96320281462553,2000
0.33,33.0,64.70110299020315,79.76122189724308,97.65344944414518,2000
0.33999999999999997,34.0,70.8178403331392,86.90858912309392,106.21195948705946,2000
0.35,35.0,77.39609451811224,95.19265076645796,116.3753049179872,2000
0.36,36.0,84.98729930518667,104.24890555836028,128.39200465946817,2000
0.37,37.0,93.08100539937287,114.18230027247176,143.4581966632107,2000
0.38,38.0,102.21162785593366,125.88617981212349,162.91539089997752,2000
0.39,39.0,111.43392607683377,140.05190275037668,187.82656789595254,2000
0.4,40.0,122.37759574690403,155.84633583090326,222.99927002715043,2000
0.41,41.0,134.42580615867377,174.36943793447273,267.9346800825196,2000
0.42,42.0,148.16309221881403,197.3317348874002,327.6041264828582,1995
0.43,43.0,162.53566364358247,225.9250618604699,418.05886423585446,1990
0.44,44.0,179.96671765359085,259.78443356666327,567.9313658952154,1977
0.45,45.0,199.8395858462395,302.8977859382474,845.0729175714742,1953
0.46,46.0,221.52671193569512,357.7485022999683,1555.6242695133237,1922
0.47,47.0,246.46582898542815,423.85929708221045,1621.3132313947847,1830
0.48,48.0,275.3926789149994,516.0975954663758,2898.943499056975,1744
0.49,49.0,305.90653594290796,615.7612645806761,6614.944788678952,1589
0.5,50.0,339.0003620612924,725.1742715481176,8636.024477138344,1351
0.51,51.0,378.1641972867485,842.5026113033194,8645.54224609519,1132
0.52,52.0,421.20654200926145,1014.3849965431652,7710.103842643135,946
0.53,53.0,454.1687089386027,1219.486338167754,7111.888178522314,747
0.54,54.0,508.92891248646004,1637.9189436409358,12247.36265712367,598
0.55,55.00000000000001,523.5593916970199,1986.2177932948437,21243.275148153425,420
0.56,56.00000000000001,523.1610435977951,2123.7577712255584,16338.476459241241,280
0.5700000000000001,57.00000000000001,563.4892441233952,1733.412033247773,36692.41397906491,180
0.5800000000000001,58.00000000000001,638.2129771246111,1690.29229866459,45789.470878248874,127
0.5900000000000001,59.00000000000001,688.416606818872,2302.453844541481,14177.044617181105,94
0.6000000000000001,60.00000000000001,760.0929538851658,2729.8284694252006,15677.712079876017,70
0.6100000000000001,61.00000000000001,769.8662396593464,2213.7466243932904,12213.675655396957,44
0.6200000000000001,62.000000000000014,852.4595472991653,2224.3513634263254,24083.301760858456,31
0.63,63.0,968.4466204953317,3067.1103515537084,36559.46743202316,24
0.64,64.0,1104.657686452254,5225.682025351093,17601.37191769342,18
0.65,65.0,1257.0969885427987,2519.5680740117896,18687.55241546921,9
0.66,66.0,1514.0897731822265,3455.118677927158,20885.852655697876,7
0.67,67.0,1888.446082789235,3149.122571108206,11758.01696606644,5
0.68,68.0,2483.028519192381,3002.874454798212,5712.158227610506,3
0.6900000000000001,69.0,3699.370337532062,4923.285631080741,46794.82524428903,3
0.7000000000000001,70.0,6871.2109126668765,9773.776124253496,12676.341335840114,2
0.7100000000000001,71.00000000000001,35242.07044768656,35242.07044768656,35242.07044768656,1
