Day,AUC_0_24_exposure_x,y_emax(x),TT_simulated_ng_dL,Dose_mg_per_day,Scenario
0,0.0,0.0,622.0,0.1,24h_half_life (r=0.5)
1,9.500004529955163,0.0927993989675589,615.9020222181409,0.1,24h_half_life (r=0.5)
2,14.250006794932744,0.127589948455102,607.9262722936451,0.1,24h_half_life (r=0.5)
3,16.625007927421535,0.14289619660124833,599.4788395935439,0.1,24h_half_life (r=0.5)
4,17.81250849366593,0.15009879996135791,591.1238130900668,0.1,24h_half_life (r=0.5)
5,18.40625877678813,0.15359513161470228,583.0985488935959,0.1,24h_half_life (r=0.5)
6,18.703133918349227,0.15531794301702873,575.4975042952523,0.1,24h_half_life (r=0.5)
7,18.85157148912978,0.15617311710702436,568.3492842340873,0.1,24h_half_life (r=0.5)
8,18.92579027452005,0.15659915938200317,561.6517632548613,0.1,24h_half_life (r=0.5)
9,18.96289966721519,0.15681179595376668,555.3887825743861,0.1,24h_half_life (r=0.5)
10,18.981454363562758,0.15691801830064675,549.5382349557568,0.1,24h_half_life (r=0.5)
11,18.99073171173654,0.15697110551458307,544.0759925742369,0.1,24h_half_life (r=0.5)
12,18.995370385823435,0.15699764313482759,538.9777964005133,0.1,24h_half_life (r=0.5)
13,18.99768972286688,0.1570109104486627,534.2201393594281,0.1,24h_half_life (r=0.5)
14,18.998849391388603,0.15701754373155774,529.7806524954186,0.1,24h_half_life (r=0.5)
15,18.999429225649465,0.15702086027950574,525.6382468508176,0.1,24h_half_life (r=0.5)
16,18.999719142779895,0.15702251853010563,521.7731367541196,0.1,24h_half_life (r=0.5)
17,18.99986410134511,0.15702334764956216,518.1668070353838,0.1,24h_half_life (r=0.5)
18,18.99993658062772,0.15702376220782957,514.8019551882423,0.1,24h_half_life (r=0.5)
19,18.999972820269022,0.15702396948659808,511.6624237826492,0.1,24h_half_life (r=0.5)
20,18.999990940089674,0.15702407312589103,508.7331305929826,0.1,24h_half_life (r=0.5)
21,19.0,0.15702412494551468,505.99999999999994,0.1,24h_half_life (r=0.5)
0,0.0,0.0,622.0,0.3,24h_half_life (r=0.5)
1,42.50002026558889,0.25436453436785167,609.7003361335934,0.3,24h_half_life (r=0.5)
2,63.75003039838333,0.30538417910389365,595.757315755638,0.3,24h_half_life (r=0.5)
3,74.37503546478055,0.32394894139165764,581.8503283819811,0.3,24h_half_life (r=0.5)
4,79.68753799797916,0.33202260218417295,568.4842527094638,0.3,24h_half_life (r=0.5)
5,82.34378926457848,0.3358021843631318,555.8305034224674,0.3,24h_half_life (r=0.5)
6,83.67191489787812,0.33763239450533405,543.9356390179914,0.3,24h_half_life (r=0.5)
7,84.33597771452794,0.33853314935872036,532.7937825694855,0.3,24h_half_life (r=0.5)
8,84.66800912285287,0.3389800046944866,522.3764554602884,0.3,24h_half_life (r=0.5)
9,84.83402482701531,0.33920255986280107,512.6459840451495,0.3,24h_half_life (r=0.5)
10,84.91703267909655,0.33931362031517703,503.56176292159904,0.3,24h_half_life (r=0.5)
11,84.95853660513716,0.3393690963819532,495.08320239475086,0.3,24h_half_life (r=0.5)
12,84.97928856815747,0.33939682089089235,487.1710850983474,0.3,24h_half_life (r=0.5)
13,84.98966454966762,0.3394106797661728,479.78814848923673,0.3,24h_half_life (r=0.5)
14,84.9948525404227,0.33941760835925605,472.8992900300211,0.3,24h_half_life (r=0.5)
15,84.99744653580024,0.33942107244468844,466.4715903095083,0.3,24h_half_life (r=0.5)
16,84.998743533489,0.339422804434631,460.47425066111117,0.3,24h_half_life (r=0.5)
17,84.99939203233339,0.3394236704164095,454.87849303360946,0.3,24h_half_life (r=0.5)
18,84.99971628175558,0.3394241034040005,449.6574456176184,0.3,24h_half_life (r=0.5)
19,84.99987840646668,0.33942431989697147,444.7860256597165,0.3,24h_half_life (r=0.5)
20,84.99995946882223,0.3394244281432508,440.240824889171,0.3,24h_half_life (r=0.5)
21,85.0,0.339424482266339,435.99999999999994,0.3,24h_half_life (r=0.5)
0,0.0,0.0,622.0,1.0,24h_half_life (r=0.5)
1,119.00005674364888,0.3752800788461231,600.5125135786176,1.0,24h_half_life (r=0.5)
2,178.50008511547333,0.4115049529324648,578.3898449922658,1.0,24h_half_life (r=0.5)
3,208.25009930138555,0.42317584904611644,557.0804225107998,1.0,24h_half_life (r=0.5)
4,223.12510639434166,0.42803169676379893,536.919996062467,1.0,24h_half_life (r=0.5)
5,230.56260994081973,0.4302613785722381,517.9819877261275,1.0,24h_half_life (r=0.5)
6,234.28136171405873,0.4313313166804981,500.25093949438246,1.0,24h_half_life (r=0.5)
7,236.14073760067825,0.43185558401604063,483.67726844010184,1.0,24h_half_life (r=0.5)
8,237.07042554398802,0.432115104487007,468.19862714014465,1.0,24h_half_life (r=0.5)
9,237.53526951564288,0.43224421900884213,453.74915140715837,1.0,24h_half_life (r=0.5)
10,237.76769150147032,0.43230861577775553,440.26362665921334,1.0,24h_half_life (r=0.5)
11,237.88390249438405,0.43234077415553507,427.6793458625357,1.0,24h_half_life (r=0.5)
12,237.94200799084092,0.4323568433572508,415.9368766269805,1.0,24h_half_life (r=0.5)
13,237.97106073906934,0.4323648754631243,404.98030553221145,1.0,24h_half_life (r=0.5)
14,237.98558711318356,0.4323688908925409,394.75723331442936,1.0,24h_half_life (r=0.5)
15,237.99285030024066,0.43237089845139737,385.21865471317693,1.0,24h_half_life (r=0.5)
16,237.99648189376921,0.4323719021918662,376.31878871447293,1.0,24h_half_life (r=0.5)
17,237.9982976905335,0.4323724040523612,368.0148913822988,1.0,24h_half_life (r=0.5)
18,237.99920558891563,0.4323726549801739,360.26706684562197,1.0,24h_half_life (r=0.5)
19,237.9996595381067,0.43237278044347155,353.038083756587,1.0,24h_half_life (r=0.5)
20,237.99988651270223,0.4323728431749682,346.29320044742593,1.0,24h_half_life (r=0.5)
21,238.0,0.4323728745406785,340.0,1.0,24h_half_life (r=0.5)
0,0.0,0.0,622.0,0.1,36h_half_life (r=0.63)
1,7.030429668391945,0.07208577897586615,617.189860443905,0.1,36h_half_life (r=0.63)
2,11.45960035947887,0.10789152594595636,610.312595811057,0.1,36h_half_life (r=0.63)
3,14.249977894863633,0.12758975443505183,602.5814577093694,0.1,36h_half_life (r=0.63)
4,16.007915742156033,0.13903827700275062,594.6041138326566,0.1,36h_half_life (r=0.63)
5,17.115416585950246,0.1459053576592441,586.7027622817063,0.1,36h_half_life (r=0.63)
6,17.813142117540597,0.15010256765850993,579.0504691957741,0.1,36h_half_life (r=0.63)
7,18.25270920244252,0.15269747590639968,571.737474259047,0.1,36h_half_life (r=0.63)
8,18.529636465930736,0.15431313963732193,564.8063987135022,0.1,36h_half_life (r=0.63)
9,18.704100641928306,0.1553235258508117,558.2720555156739,0.1,36h_half_life (r=0.63)
10,18.814013072806777,0.1559571266793065,552.133018820659,0.1,36h_half_life (r=0.63)
11,18.883257904260216,0.1563551340341705,546.3785368148549,0.1,36h_half_life (r=0.63)
12,18.92688214807588,0.15660541946642736,540.9927142089645,0.1,36h_half_life (r=0.63)
