day,dose_mg_day,suppression_pct
0.0,0.05,0.0
1.0,0.05,1.6804307963558276
2.0,0.05,3.08101335559791
3.0,0.05,4.2584451833395125
4.0,0.05,5.2554653062738215
5.0,0.05,6.1049007954898995
6.0,0.05,6.83238015715129
7.0,0.05,7.458199529656041
8.0,0.05,7.998635229873674
9.0,0.05,8.466885444527689
10.0,0.05,8.873757999229376
11.0,0.05,9.228180817245013
12.0,0.05,9.537586351141554
13.0,0.05,9.808204985870631
14.0,0.05,10.045291720638016
15.0,0.05,10.253303283289704
16.0,0.05,10.436037960806246
17.0,0.05,10.596747061006798
18.0,0.05,10.738224556573526
19.0,0.05,10.862879781082228
20.0,0.05,10.972796835871094
21.0,0.05,11.06978348451514
22.0,0.05,11.06978348451514
23.0,0.05,11.06978348451514
24.0,0.05,11.06978348451514
25.0,0.05,11.06978348451514
26.0,0.05,11.06978348451514
27.0,0.05,11.06978348451514
28.0,0.05,11.06978348451514
29.0,0.05,11.06978348451514
30.0,0.05,11.06978348451514
31.0,0.05,11.06978348451514
32.0,0.05,11.06978348451514
33.0,0.05,11.06978348451514
34.0,0.05,11.06978348451514
35.0,0.05,11.06978348451514
36.0,0.05,11.06978348451514
37.0,0.05,11.06978348451514
38.0,0.05,11.06978348451514
39.0,0.05,11.06978348451514
40.0,0.05,11.06978348451514
41.0,0.05,11.06978348451514
42.0,0.05,11.06978348451514
43.0,0.05,11.06978348451514
44.0,0.05,11.06978348451514
45.0,0.05,11.06978348451514
46.0,0.05,11.06978348451514
47.0,0.05,11.06978348451514
48.0,0.05,11.06978348451514
49.0,0.05,11.06978348451514
50.0,0.05,11.06978348451514
51.0,0.05,11.06978348451514
52.0,0.05,11.06978348451514
53.0,0.05,11.06978348451514
54.0,0.05,11.06978348451514
55.0,0.05,11.06978348451514
56.0,0.05,11.06978348451514
0.0,0.1759493670886076,0.0
1.0,0.1759493670886076,5.461207198799922
2.0,0.1759493670886076,9.412989702021694
3.0,0.1759493670886076,12.386321329795814
4.0,0.1759493670886076,14.689787512460697
5.0,0.1759493670886076,16.515016882091853
6.0,0.1759493670886076,17.987322177644444
7.0,0.1759493670886076,19.19212168017574
8.0,0.1759493670886076,20.18965720146331
9.0,0.1759493670886076,21.023640936394987
10.0,0.1759493670886076,21.726565025765233
11.0,0.1759493670886076,22.323085826600632
12.0,0.1759493670886076,22.832251074962254
13.0,0.1759493670886076,23.269006747610206
