Scenario,Dose_mg_per_day,Day,n_mc,suppression_pct_p01,suppression_pct_p05,suppression_pct_p25,suppression_pct_p50,suppression_pct_p75,suppression_pct_p95,suppression_pct_p99
24h_half_life (r=0.5),0.1,0,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24h_half_life (r=0.5),0.1,1,15000,0.7219183233746546,0.7718444202300995,0.8784804837167486,0.9817835450922419,1.1185418530977662,1.4039059343823863,1.6696756954766274
24h_half_life (r=0.5),0.1,2,15000,1.6925598281675645,1.8037193494608696,2.0394546392990596,2.2657127642051105,2.5621784783994648,3.1699791885924444,3.723280025253025
24h_half_life (r=0.5),0.1,3,15000,2.752795815684287,2.923684553871135,3.2834100550837064,3.625362197776159,4.06866698290572,4.961105563610538,5.7545916310864005
24h_half_life (r=0.5),0.1,4,15000,3.8368643010617274,4.060991316330531,4.5292086434068475,4.969913742152982,5.535035618266473,6.651760477434521,7.621038732478668
24h_half_life (r=0.5),0.1,5,15000,4.915209141501832,5.184154227716882,5.741666887907138,6.261170209103768,6.919991926051211,8.19762205453333,9.279835454037249
24h_half_life (r=0.5),0.1,6,15000,5.974207340494578,6.278959857729247,6.905773888754426,7.483947104862155,8.20901880213412,9.588790375376384,10.729172765178136
24h_half_life (r=0.5),0.1,7,15000,7.007696801289716,7.339269505202554,8.0158947660361,8.633663464388702,9.39974124593068,10.83022766639076,11.983802797806888
24h_half_life (r=0.5),0.1,8,15000,8.013113852531466,8.362824974645722,9.070846235344188,9.710685155856986,10.495269823867737,11.93294980812105,13.06422896366973
24h_half_life (r=0.5),0.1,9,15000,8.989650888072763,9.34924816271033,10.071550276132733,10.717635782844432,11.501053227310354,12.909948190772319,13.991863941053778
24h_half_life (r=0.5),0.1,10,15000,9.937357151873808,10.299065220907472,11.019892527918632,11.658094707706923,12.423370649963397,13.774313738659446,14.786941481427576
24h_half_life (r=0.5),0.1,11,15000,10.856694868684256,11.213225444513347,11.918162433095683,12.53596461623961,13.268614397405734,14.538412689575763,15.467720894976514
24h_half_life (r=0.5),0.1,12,15000,11.748319043657963,12.092863171300843,12.768779009141111,13.355167398926096,14.042958610175125,15.213567501344503,16.050292984035384
24h_half_life (r=0.5),0.1,13,15000,12.612968093781213,12.939180076226064,13.574157975489937,14.119502086110288,14.752217261482073,15.809977598135582,16.548654976614706
