Scenario,Dose_mg_per_day,Day,suppression_pct_p05,suppression_pct_p50,suppression_pct_p95,suppression_pct_min,suppression_pct_max,n_alpha
24h_half_life (r=0.5),0.1,0,0.0,0.0,0.0,0.0,0.0,5
24h_half_life (r=0.5),0.1,1,0.7651564323499429,0.9803822800416514,1.4569979894708351,0.7458009379054966,1.5205345508232435,5
24h_half_life (r=0.5),0.1,2,1.7887065646446618,2.26265718751687,3.280079421964549,1.7457983701239552,3.414286061804264,5
24h_half_life (r=0.5),0.1,3,2.900411379305534,3.6207653386585443,5.118316045014241,2.834743944567722,5.313688087099467,5
24h_half_life (r=0.5),0.1,4,4.0302091905632285,4.964017188092146,6.842888721342273,3.9444811982073125,7.085229518985702,5
24h_half_life (r=0.5),0.1,5,5.146903673178112,6.2542525894540395,8.409920714292056,5.044515695967321,8.684733922399456,5
24h_half_life (r=0.5),0.1,6,6.236394078847112,7.476285483078413,9.811260068531002,6.120924698974035,10.105411951053977,5
24h_half_life (r=0.5),0.1,7,7.292571425476589,8.62551700416602,11.05393723218856,7.167540037444851,11.356196187745455,5
24h_half_life (r=0.5),0.1,8,8.313167148616179,9.702288865777927,12.15095325960529,8.181927789272867,12.452047887521308,5
24h_half_life (r=0.5),0.1,9,9.297773257753548,10.709198943024736,13.11704953657371,9.16347066673507,13.409526289853892,5
24h_half_life (r=0.5),0.1,10,10.246876611582579,11.64980145405839,13.96679155409709,10.112432267617828,14.244800124272787,5
24h_half_life (r=0.5),0.1,11,11.161382855005403,12.527975470379918,14.713753167545681,11.029495398682116,14.972818074714132,5
24h_half_life (r=0.5),0.1,12,12.042380870107008,13.347621157473748,15.370225312241084,11.915533267789629,15.607029335157755,5
24h_half_life (r=0.5),0.1,13,12.891026380451917,14.112517787873292,15.947170230870544,12.771496059786028,16.159359692467365,5
24h_half_life (r=0.5),0.1,14,13.708484825861042,14.82626165668511,16.45428530544132,13.598354926488499,16.64029988366122,5
24h_half_life (r=0.5),0.1,15,14.495903766051232,15.49224327157273,16.900110574159285,14.397074598831235,17.059036980240972,5
24h_half_life (r=0.5),0.1,16,15.254399993436856,16.113643608662443,17.292148479804283,15.168600273836796,17.42359596627058,5
24h_half_life (r=0.5),0.1,17,15.985053959221409,16.693439383378802,17.636981369815143,15.913851615407333,17.74097658218212,5
24h_half_life (r=0.5),0.1,18,16.68890781949738,17.23441234915718,17.940380578932206,16.633720292090757,18.01727924875365,5
24h_half_life (r=0.5),0.1,19,17.366965256987825,17.73916016356122,18.207404939459895,17.32906926479163,18.257818087076966,5
24h_half_life (r=0.5),0.1,20,18.020192157878206,18.210107621706978,18.44248845143701,18.000732931721885,18.467221006422058,5
24h_half_life (r=0.5),0.1,21,18.649517684887446,18.649517684887467,18.649517684887467,18.649517684887442,18.649517684887467,5
24h_half_life (r=0.5),0.3,0,0.0,0.0,0.0,0.0,0.0,5
24h_half_life (r=0.5),0.3,1,1.5382449796968822,1.9774379206441486,2.9512517222601042,1.4987719157146964,3.0810830932403372,5
24h_half_life (r=0.5),0.3,2,3.3277970696278745,4.219081068225394,6.129526112052112,3.247109152855435,6.381315750090038,5
24h_half_life (r=0.5),0.3,3,5.16309243094485,6.454931128298865,9.130697626377458,5.045279277755758,9.479207595288981,5
24h_half_life (r=0.5),0.3,4,6.9790452609814855,8.603817892369161,11.855433960745552,6.8297689163569855,12.273874243922597,5
24h_half_life (r=0.5),0.3,5,8.750466010672852,10.638182729506855,14.2885068761188,8.575742418346913,14.752554435244747,5
24h_half_life (r=0.5),0.3,6,10.46727834397382,12.550540350805235,16.443687218707165,10.273025654919602,16.93253995916526,5
24h_half_life (r=0.5),0.3,7,12.125944595592028,14.34183559976117,18.344794537895407,11.917800639784002,18.841238306318502,5
24h_half_life (r=0.5),0.3,8,13.725930366167441,16.016647032107972,20.01814917001268,13.509181520726965,20.50826942564903,5
24h_half_life (r=0.5),0.3,9,15.2681054578752,17.581031503995263,21.489420521077395,15.04766547090416,21.962200086172455,5
